House Number,Task Name,Start Date,Finish Date
0,Masonry,23.08.2023,27.09.2023
0,Carpentry,27.09.2023,12.10.2023
0,Plumbing,01.10.2023,10.11.2023
0,Ceiling,06.10.2023,21.10.2023
0,Roofing,12.10.2023,17.10.2023
0,Painting,19.03.2024,29.03.2024
0,Windows,18.02.2024,23.02.2024
0,Facade,10.11.2023,20.11.2023
0,Garden,24.02.2024,29.02.2024
0,Moving,08.04.2024,13.04.2024
1,Masonry,23.07.2023,27.08.2023
1,Carpentry,27.08.2023,11.09.2023
1,Plumbing,27.08.2023,06.10.2023
1,Ceiling,16.09.2023,01.10.2023
1,Roofing,11.09.2023,16.09.2023
1,Painting,17.10.2023,27.10.2023
1,Windows,28.02.2024,04.03.2024
1,Facade,20.03.2024,30.03.2024
1,Garden,14.03.2024,19.03.2024
1,Moving,04.04.2024,09.04.2024
2,Masonry,27.10.2023,01.12.2023
2,Carpentry,01.12.2023,16.12.2023
2,Plumbing,10.12.2023,19.01.2024
2,Ceiling,21.12.2023,05.01.2024
2,Roofing,16.12.2023,21.12.2023
2,Painting,28.02.2024,09.03.2024
2,Windows,23.02.2024,28.02.2024
2,Facade,05.03.2024,15.03.2024
2,Garden,29.03.2024,03.04.2024
2,Moving,03.04.2024,08.04.2024
3,Masonry,20.11.2023,25.12.2023
3,Carpentry,25.12.2023,09.01.2024
3,Plumbing,19.01.2024,28.02.2024
3,Ceiling,29.01.2024,13.02.2024
3,Roofing,09.01.2024,14.01.2024
3,Painting,04.03.2024,14.03.2024
3,Windows,29.02.2024,05.03.2024
3,Facade,19.03.2024,29.03.2024
3,Garden,09.03.2024,14.03.2024
3,Moving,30.03.2024,04.04.2024
4,Masonry,21.10.2023,25.11.2023
4,Carpentry,25.11.2023,10.12.2023
4,Plumbing,05.01.2024,14.02.2024
4,Ceiling,14.01.2024,29.01.2024
4,Roofing,13.02.2024,18.02.2024
4,Painting,14.02.2024,24.02.2024
4,Windows,14.03.2024,19.03.2024
4,Facade,29.03.2024,08.04.2024
4,Garden,15.03.2024,20.03.2024
4,Moving,08.04.2024,13.04.2024
